INFO:     Started server process [199801]
INFO:     Waiting for application startup.
2026-05-27 13:29:54,274 | INFO | - | apex.integrations.news_regime_adapters | MiroFish adapter initialized from /home/aarav/Aarav/Autopilot/external/MiroFish
2026-05-27 13:29:54,275 | INFO | - | apex.integrations.daily_stock_analysis_adapter | DailyStockAnalysis adapter initialized from /home/aarav/Aarav/Autopilot/external/daily_stock_analysis
2026-05-27 13:29:54,275 | INFO | - | apex.integrations.news_regime_adapters | Kronos adapter initialized from /home/aarav/Aarav/Autopilot/external/Kronos
INFO:     Application startup complete.
INFO:     Uvicorn running on http://127.0.0.1:8000 (Press CTRL+C to quit)
2026-05-27 13:29:54,477 | INFO | - | httpx | HTTP Request: GET https://demo-api.kalshi.co/trade-api/v2/markets?status=open&limit=100&category=ECON "HTTP/1.1 200 OK"
INFO:     127.0.0.1:52242 - "WebSocket /ws" [accepted]
INFO:     connection open
2026-05-27 13:29:54,705 | INFO | - | httpx | HTTP Request: GET https://demo-api.kalshi.co/trade-api/v2/markets?status=open&limit=100&category=FED "HTTP/1.1 200 OK"
2026-05-27 13:29:54,847 | INFO | - | httpx | HTTP Request: GET https://demo-api.kalshi.co/trade-api/v2/markets?status=open&limit=100&category=FED "HTTP/1.1 200 OK"
2026-05-27 13:29:54,854 | INFO | - | apex.integrations.alpaca_adapter | Subscribed to trade updates
2026-05-27 13:29:54,928 | ERROR | - | apex.integrations.alpaca_adapter | Alpaca WS error: insufficient subscription
2026-05-27 13:29:54,928 | ERROR | - | apex.integrations.alpaca_adapter | Alpaca WS error: invalid syntax
INFO:     127.0.0.1:46914 - "GET /api/dashboard/snapshot HTTP/1.1" 200 OK
INFO:     127.0.0.1:46926 - "GET /api/demo/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:46942 - "GET /api/dashboard/snapshot HTTP/1.1" 200 OK
2026-05-27 13:29:55,128 | INFO | - | httpx | HTTP Request: GET https://demo-api.kalshi.co/trade-api/v2/markets?status=open&limit=100&category=CRYPTO "HTTP/1.1 200 OK"
2026-05-27 13:29:55,247 | INFO | - | httpx | HTTP Request: GET https://demo-api.kalshi.co/trade-api/v2/markets?status=open&limit=100&category=CRYPTO "HTTP/1.1 200 OK"
2026-05-27 13:29:55,539 | INFO | - | httpx | HTTP Request: GET https://demo-api.kalshi.co/trade-api/v2/markets?status=open&limit=100&category=POLITICS "HTTP/1.1 200 OK"
2026-05-27 13:29:55,573 | INFO | - | httpx | HTTP Request: GET https://demo-api.kalshi.co/trade-api/v2/markets?status=open&limit=100&category=POLITICS "HTTP/1.1 200 OK"
INFO:     127.0.0.1:46936 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:63119 - "WebSocket /ws" [accepted]
INFO:     connection open
INFO:     connection closed
INFO:     127.0.0.1:63857 - "WebSocket /api/arb/stream" [accepted]
INFO:     connection open
INFO:     connection closed
2026-05-27 13:29:55,942 | INFO | - | httpx | HTTP Request: GET https://demo-api.kalshi.co/trade-api/v2/markets?status=open&limit=100&category=FINANCE "HTTP/1.1 200 OK"
2026-05-27 13:29:55,956 | INFO | - | httpx | HTTP Request: GET https://demo-api.kalshi.co/trade-api/v2/markets?status=open&limit=100&category=FINANCE "HTTP/1.1 200 OK"
